solver,config,frame,t,runout,max_h,ke
mpm,mpm-B2-gimp-pic,10,0.183333,0.131282,0.065260,2.191288
mpm,mpm-B2-gimp-pic,11,0.200000,0.133926,0.055078,1.334295
mpm,mpm-B2-gimp-pic,12,0.216667,0.134147,0.046522,0.697739
mpm,mpm-B2-gimp-pic,13,0.233333,0.134190,0.039979,0.347544
mpm,mpm-B2-gimp-pic,14,0.250000,0.134190,0.034460,0.189250
mpm,mpm-B2-gimp-pic,15,0.266667,0.134190,0.030103,0.095545
mpm,mpm-B2-gimp-pic,16,0.283333,0.134190,0.026340,0.064890
mpm,mpm-B2-gimp-pic,17,0.300000,0.134190,0.022885,0.035310
mpm,mpm-B2-gimp-pic,18,0.316667,0.134190,0.019607,0.029676
mpm,mpm-B2-gimp-pic,19,0.333333,0.134190,0.016438,0.015924
mpm,mpm-B2-gimp-pic,20,0.350000,0.134190,0.013367,0.016593
mpm,mpm-B2-gimp-pic,21,0.366667,0.134190,0.010338,0.006010
mpm,mpm-B2-gimp-pic,22,0.383333,0.134190,0.007393,0.007583
mpm,mpm-B2-gimp-pic,23,0.400000,0.134190,0.004431,0.001329
mpm,mpm-B2-gimp-pic,24,0.416667,0.134190,0.002715,0.002594
mpm,mpm-B2-gimp-pic,25,0.433333,0.134190,0.002715,0.000000
mpm,mpm-B2-gimp-pic,26,0.450000,0.134190,0.002715,0.000834
mpm,mpm-B2-gimp-pic,27,0.466667,0.134190,0.002715,0.000000
mpm,mpm-B2-gimp-pic,28,0.483333,0.134190,0.002715,0.000013
mpm,mpm-B2-gimp-pic,29,0.500000,0.134190,0.002715,0.000000
mpm,mpm-B2-gimp-pic,30,0.516667,0.134190,0.002715,0.000004
mpm,mpm-B2-gimp-apic,0,0.016667,0.099814,0.194776,0.205885
mpm,mpm-B2-gimp-apic,1,0.033333,0.100009,0.189340,0.785249
mpm,mpm-B2-gimp-apic,2,0.050000,0.100677,0.181244,1.644222
mpm,mpm-B2-gimp-apic,3,0.066667,0.101945,0.170575,2.614147
mpm,mpm-B2-gimp-apic,4,0.083333,0.104195,0.157553,3.515897
mpm,mpm-B2-gimp-apic,5,0.100000,0.107575,0.142539,4.237786
mpm,mpm-B2-gimp-apic,6,0.116667,0.111996,0.126098,4.686731
mpm,mpm-B2-gimp-apic,7,0.133333,0.117315,0.109052,4.725463
mpm,mpm-B2-gimp-apic,8,0.150000,0.123150,0.092575,4.310686
mpm,mpm-B2-gimp-apic,9,0.166667,0.128565,0.077695,3.446503
mpm,mpm-B2-gimp-apic,10,0.183333,0.132551,0.065176,2.368114
mpm,mpm-B2-gimp-apic,11,0.200000,0.134888,0.054839,1.414892
mpm,mpm-B2-gimp-apic,12,0.216667,0.135568,0.046381,0.719020
mpm,mpm-B2-gimp-apic,13,0.233333,0.135568,0.039419,0.374619
mpm,mpm-B2-gimp-apic,14,0.250000,0.135568,0.033520,0.181833
mpm,mpm-B2-gimp-apic,15,0.266667,0.135568,0.028693,0.098506
mpm,mpm-B2-gimp-apic,16,0.283333,0.135568,0.024709,0.054509
mpm,mpm-B2-gimp-apic,17,0.300000,0.135568,0.021153,0.035958
mpm,mpm-B2-gimp-apic,18,0.316667,0.135568,0.017855,0.022548
